#|q|=2pi|n|/L	<|nq//|^2>	std<|nq//|^2>
0.024239	2.830726e+01	1.980210e+01
0.048477	1.090037e+01	1.126460e+01
0.072716	9.846374e+00	1.082409e+01
0.096955	5.753926e+00	5.608461e+00
0.121193	6.058252e+00	5.595619e+00
0.145432	4.810559e+00	4.443674e+00
0.169670	4.302406e+00	4.045416e+00
0.193909	3.920318e+00	3.084087e+00
0.218148	2.956852e+00	2.350825e+00
0.242386	3.597910e+00	3.704291e+00
0.266625	3.085360e+00	3.025540e+00
0.290864	2.637750e+00	2.948012e+00
0.315102	2.402259e+00	2.651575e+00
0.339341	2.165374e+00	1.958084e+00
0.363579	1.967262e+00	1.864395e+00
0.034279	3.437477e+01	2.669857e+01
0.054199	1.572538e+01	1.348063e+01
0.076649	1.078845e+01	1.022026e+01
0.099938	6.746550e+00	5.738897e+00
0.123593	5.449971e+00	5.196279e+00
0.147438	5.693442e+00	5.461196e+00
0.171393	4.651159e+00	4.371511e+00
0.195418	3.946151e+00	4.145927e+00
0.219490	3.607633e+00	3.438279e+00
0.243595	2.582498e+00	2.652329e+00
0.267724	2.998211e+00	2.528502e+00
0.291872	2.495390e+00	2.216971e+00
0.316033	2.242882e+00	2.298280e+00
0.340205	2.188245e+00	2.175225e+00
0.364387	2.297900e+00	2.378020e+00
0.068557	1.164576e+01	1.242330e+01
0.087394	8.309042e+00	8.538442e+00
0.108398	5.369666e+00	5.153249e+00
0.130529	5.939712e+00	5.562762e+00
0.153299	4.594729e+00	4.443549e+00
0.176460	4.558084e+00	4.346609e+00
0.199877	4.020105e+00	3.739615e+00
0.223469	3.768717e+00	3.490468e+00
0.247187	3.124100e+00	2.925520e+00
0.270996	2.873529e+00	3.038480e+00
0.294876	2.520921e+00	2.404437e+00
0.318809	1.991653e+00	1.894958e+00
0.342786	2.382796e+00	2.283435e+00
0.366797	2.245010e+00	2.330394e+00
0.102836	4.850757e+00	4.752435e+00
0.121193	6.961067e+00	6.399380e+00
0.141334	5.170737e+00	4.756334e+00
0.162598	4.835696e+00	4.615414e+00
0.184596	3.878106e+00	3.604244e+00
0.207095	3.858585e+00	4.075119e+00
0.229948	3.452540e+00	3.407585e+00
0.253059	2.788939e+00	2.795548e+00
0.276363	2.673227e+00	2.687430e+00
0.299815	2.447522e+00	2.386787e+00
0.323384	2.278711e+00	2.162708e+00
0.347044	1.945119e+00	1.791082e+00
0.370780	2.099472e+00	1.982808e+00
0.137114	5.517626e+00	6.302509e+00
0.155203	5.642418e+00	4.880716e+00
0.174787	4.015892e+00	3.644683e+00
0.195418	4.055526e+00	3.669876e+00
0.216797	3.271488e+00	3.160567e+00
0.238723	2.578980e+00	2.566557e+00
0.261058	2.930641e+00	2.808439e+00
0.283706	2.457492e+00	2.056334e+00
0.306597	2.253501e+00	2.350478e+00
0.329681	2.078262e+00	2.072484e+00
0.352920	2.130996e+00	2.092598e+00
0.376285	1.628909e+00	1.356043e+00
0.171393	4.922923e+00	4.659520e+00
0.189310	3.865487e+00	3.721505e+00
0.208509	3.447990e+00	3.525779e+00
0.228667	2.870620e+00	2.818032e+00
0.249552	3.259017e+00	3.272247e+00
0.270996	2.699093e+00	2.821288e+00
0.292876	2.286316e+00	2.315529e+00
0.315102	2.485018e+00	2.253302e+00
0.337605	2.320701e+00	2.184010e+00
0.360333	1.976337e+00	1.871076e+00
0.383246	1.893302e+00	1.763474e+00
0.205672	2.879275e+00	3.139567e+00
0.223469	3.391185e+00	3.226488e+00
0.242386	2.589419e+00	2.437887e+00
0.262181	3.032618e+00	3.083581e+00
0.282669	2.416696e+00	2.507855e+00
0.303709	2.279601e+00	2.249251e+00
0.325195	2.091324e+00	1.955593e+00
0.347044	2.098336e+00	2.011749e+00
0.369192	2.079049e+00	2.085545e+00
0.391587	1.847299e+00	1.889965e+00
0.239950	3.120814e+00	2.828744e+00
0.257660	2.876580e+00	2.868717e+00
0.276363	2.297716e+00	2.095120e+00
0.295870	2.328825e+00	2.085120e+00
0.316033	2.325144e+00	2.043743e+00
0.336734	1.993393e+00	1.706783e+00
0.357879	1.614803e+00	1.700422e+00
0.379395	1.735666e+00	1.936981e+00
0.401221	1.828645e+00	1.641588e+00
0.274229	2.404607e+00	2.080196e+00
0.291872	2.461436e+00	2.414032e+00
0.310406	2.278509e+00	2.069430e+00
0.329681	1.836478e+00	1.787532e+00
