#|q|=2pi|n|/L	<|nq//|^2>	std<|nq//|^2>
0.024264	5.384091e+01	5.194679e+01
0.048528	1.709285e+01	1.727935e+01
0.072793	9.544923e+00	9.606882e+00
0.097057	7.238235e+00	7.181051e+00
0.121321	5.777207e+00	5.825006e+00
0.145585	4.911945e+00	4.896912e+00
0.169849	4.408245e+00	4.405290e+00
0.194113	3.819763e+00	3.830377e+00
0.218378	3.455982e+00	3.432279e+00
0.242642	3.051623e+00	3.048087e+00
0.266906	2.780413e+00	2.759198e+00
0.291170	2.482201e+00	2.476822e+00
0.315434	2.319544e+00	2.300535e+00
0.339698	2.172090e+00	2.192632e+00
0.363963	2.103491e+00	2.103192e+00
0.034315	2.863592e+01	2.848716e+01
0.054256	1.442311e+01	1.449540e+01
0.076730	9.117688e+00	9.152682e+00
0.100044	6.825202e+00	6.806440e+00
0.123723	5.692892e+00	5.684308e+00
0.147593	4.913891e+00	4.932705e+00
0.171574	4.351205e+00	4.338932e+00
0.195624	3.840085e+00	3.844450e+00
0.219721	3.422520e+00	3.444747e+00
0.243852	3.053657e+00	3.011080e+00
0.268007	2.731449e+00	2.713241e+00
0.292179	2.501099e+00	2.496599e+00
0.316366	2.289452e+00	2.299139e+00
0.340564	2.169359e+00	2.166393e+00
0.364770	2.092076e+00	2.089505e+00
0.068629	1.054129e+01	1.044317e+01
0.087486	7.960696e+00	7.854436e+00
0.108513	6.445546e+00	6.482962e+00
0.130667	5.417649e+00	5.368595e+00
0.153460	4.767235e+00	4.714206e+00
0.176646	4.215223e+00	4.240542e+00
0.200087	3.760923e+00	3.761559e+00
0.223705	3.381743e+00	3.382512e+00
0.247447	2.979322e+00	2.985247e+00
0.271282	2.712898e+00	2.711358e+00
0.295186	2.475795e+00	2.456659e+00
0.319145	2.267134e+00	2.287651e+00
0.343147	2.144456e+00	2.152638e+00
0.367184	2.053533e+00	2.045296e+00
0.102944	6.776961e+00	6.742955e+00
0.121321	5.858543e+00	5.840040e+00
0.141483	5.052407e+00	5.069662e+00
0.162769	4.540081e+00	4.560302e+00
0.184790	4.019033e+00	3.991656e+00
0.207313	3.572137e+00	3.586244e+00
0.230190	3.177545e+00	3.181515e+00
0.253325	2.880968e+00	2.867701e+00
0.276654	2.640808e+00	2.637356e+00
0.300131	2.393944e+00	2.383517e+00
0.323724	2.243391e+00	2.245502e+00
0.347410	2.101779e+00	2.100921e+00
0.371170	2.034309e+00	2.018260e+00
0.137259	5.242981e+00	5.255246e+00
0.155367	4.714432e+00	4.666041e+00
0.174971	4.204550e+00	4.203889e+00
0.195624	3.767297e+00	3.747962e+00
0.217025	3.430576e+00	3.455604e+00
0.238974	3.057606e+00	3.059931e+00
0.261333	2.767369e+00	2.765548e+00
0.284005	2.531284e+00	2.532547e+00
0.306920	2.303535e+00	2.302233e+00
0.330028	2.176036e+00	2.180777e+00
0.353292	2.054380e+00	2.048709e+00
0.376681	1.989009e+00	1.983437e+00
0.171574	4.271994e+00	4.300308e+00
0.189509	3.898606e+00	3.862665e+00
0.208728	3.579780e+00	3.556424e+00
0.228908	3.212935e+00	3.198349e+00
0.249815	2.919184e+00	2.914206e+00
0.271282	2.641083e+00	2.680386e+00
0.293185	2.415917e+00	2.421559e+00
0.315434	2.222083e+00	2.228621e+00
0.337961	2.098092e+00	2.104611e+00
0.360713	1.992446e+00	2.020037e+00
0.383650	1.938411e+00	1.932770e+00
0.205888	3.605528e+00	3.627779e+00
0.223705	3.281874e+00	3.265476e+00
0.242642	2.983686e+00	2.990245e+00
0.262457	2.749803e+00	2.736685e+00
0.282966	2.522298e+00	2.518899e+00
0.304029	2.291744e+00	2.298995e+00
0.325538	2.118621e+00	2.118768e+00
0.347410	2.013185e+00	2.028077e+00
0.369581	1.931550e+00	1.933885e+00
0.392000	1.889644e+00	1.893678e+00
0.240203	3.019417e+00	3.080162e+00
0.257932	2.746918e+00	2.763007e+00
0.276654	2.557424e+00	2.533924e+00
0.296182	2.359342e+00	2.344133e+00
0.316366	2.156879e+00	2.138058e+00
0.337089	2.003582e+00	1.995286e+00
0.358256	1.907915e+00	1.911357e+00
0.379794	1.850982e+00	1.858075e+00
0.401644	1.808078e+00	1.807472e+00
0.274518	2.580930e+00	2.571533e+00
0.292179	2.390615e+00	2.368983e+00
0.310733	2.208259e+00	2.233937e+00
0.330028	2.045156e+00	2.060465e+00
0.349943	1.921677e+00	1.896896e+00
0.370377	1.829544e+00	1.838249e+00
0.391248	1.779529e+00	1.780329e+00
0.412491	1.718606e+00	1.741729e+00
0.308832	2.193280e+00	2.196236e+00
0.326441	2.065582e+00	2.077723e+00
0.344859	1.944054e+00	1.949478e+00
0.363963	1.839423e+00	1.827204e+00
0.383650	1.751863e+00	1.756801e+00
0.403836	1.709758e+00	1.699171e+00
0.424450	1.654050e+00	1.664233e+00
0.343147	1.948974e+00	1.974407e+00
0.360713	1.839543e+00	1.830047e+00
0.379018	1.750597e+00	1.741655e+00
0.397962	1.687126e+00	1.675074e+00
0.417457	1.636511e+00	1.638021e+00
0.437429	1.601312e+00	1.610646e+00
0.377462	1.731310e+00	1.720330e+00
0.394992	1.668978e+00	1.660188e+00
0.413204	1.605569e+00	1.609357e+00
0.432011	1.574700e+00	1.570470e+00
0.451340	1.555134e+00	1.558321e+00
0.411777	1.584481e+00	1.588936e+00
0.429277	1.555713e+00	1.550364e+00
0.447409	1.519359e+00	1.526542e+00
0.466100	1.513970e+00	1.523598e+00
0.446091	1.509812e+00	1.533809e+00
0.463566	1.480428e+00	1.492618e+00
0.481630	1.466961e+00	1.482614e+00
0.480406	1.462436e+00	1.450341e+00
0.497859	1.431797e+00	1.430908e+00
0.514721	1.421294e+00	1.419470e+00
